;;You are on the Sign In page;;;;
T0010;Input placeholders are displayed for the Sign Up form;1. Navigate to the Sign Up page;;;;
;;2. Observe the result;;;;
;;Expected result:;;;;
;;First name input placeholder is “First Name”;;;;
;;Last name input placeholder is “Last Name”;;;;
;;Company name input placeholder is “Company Name”;;;;
;;Industry selector placeholder is “Industry”;;;;
;;Email input placeholder is “Email”;;;;
;;Phone input placeholder is “Phone”;;;;
;;Password input placeholder is “Password”;;;;
T0011;Error messages for empty inputs on the Sign Up page;1. Navigate to the Sign Up page;;;;
;;2. Click on the Sign Up button;;;;
;;Expected result:;;;;
;;"Error text under the first name input is “The First Name is required""";;;;
;;"Error text under the last name input is “The Last Name is required""";;;;
;;"Error text under the company name input is “The Company Name is required""";;;;
;;Error text under the industry selector is “Please, select the industry”;;;;
;;Error text under the email selector is “Please, enter your email address”;;;;
;;Error text under the phone input is “The Phone is required”;;;;
;;Error text under the password input is “The Password is required”;;;;
T0012;Error messages for the “First Name” input on the Sign Up page;1. Navigate to the Sign Up page;;;;
;;2. Enter one character to the first name input;;;;
;;Expected result:;;;;
;;"Error text under the first name input is “Min length for First Name is 2""";;;;
;;3. Enter two characters to the first name input;;;;
;;Expected result:;;;;
;;Error text under the first name input has disappeared;;;;
T0013;Error messages for the “Last Name” input on the Sign Up page;1. Navigate to the Sign Up page;;;;
;;2. Enter one character to the last name input;;;;
;;Expected result:;;;;
;;"Error text under the last name input is “Min length for Last Name is 2""";;;;
;;3. Enter two characters to the last name input;;;;
;;Expected result:;;;;
;;Error text under the last name input has disappeared;;;;
T0014;Error messages for the “Company Name” input on the Sign Up page;1. Navigate to the Sign Up page;;;;
;;2. Click on the Sign Up button;;;;
;;Expected result:;;;;
;;"Error text under the company name input is “The Company Name is required""";;;;
;;3. Enter one character to the company name input;;;;
;;Expected result:;;;;
;;Error text under the company name is not shown;;;;
T0015;Error messages for the “Industry” selector on the Sign Up page;1. Navigate to the Sign Up page;;;;
;;2. Click on the Sign Up button;;;;
;;Expected result:;;;;
;;Error text under the industry selector is “Please, select the industry”;;;;
;;3. Select any industry;;;;
;;Expected result:;;;;
;;Error text under the industry selector has disappeared;;;;
T0016;Error messages for the “Email” input on the Sign Up page;1. Navigate to the Sign Up page;;;;
;;2. Click on the Sign Up button;;;;
;;Expected result:;;;;
;;Error text under the email selector is “Please, enter your email address”;;;;
;;3. Enter an invalid email to the email input;;;;
;;Expected result:;;;;
;;Error text under the email selector is “Invalid email address”;;;;
;;4. Enter a valid email to the email field;;;;
;;Expected result:;;;;
;;Error text under the email input has disappeared;;;;
T0017;Error messages for the “Phone” input on the Sign Up page;1. Navigate to the Sign Up page;;;;
;;2. Click on the Sign Up button;;;;
;;Expected result:;;;;
;;Error text under the phone input is “The Phone is required”;;;;
;;3. Enter 2-3 numbers to the phone input;;;;
;;Expected result:;;;;
;;"Error text under the phone input is “Wrong number format""";;;;
;;4. Enter a valid phone to the phone input;;;;
;;Expected result:;;;;
;;Error text under the phone input has disappeared;;;;
T0018;Error messages for the “Password” input on the Sign Up page;1. Navigate to the Sign Up page;;;;
;;2. Click on the Sign Up button;;;;
;;Expected result:;;;;
;;Error text under the password input is “The Password is required”;;;;
;;3. Enter a password shorter than 5 to the password field;;;;
;;Expected result:;;;;
;;Error text under the password input is “Min length for Password is 5”;;;;
;;4. Enter a password of length 5;;;;
;;Expected result:;;;;
;;Error text under the password input has disappeared;;;;
